SYNOP;CLOUD_T;Num;Year;Month;Day;Hour;Longitude;Latitude;Diam
2;1;1;2004;03;01;15;6.697;66.173;290.747
2;1;1;2004;03;01;16;8.052;66.520;155.038
2;1;1;2004;03;01;17;9.430;66.080;161.776
2;1;1;2004;03;01;18;10.130;65.600;154.598
2;1;2;2004;03;27;11;8.805;65.755;140.893
2;1;2;2004;03;27;12;9.484;65.884;145.644
2;1;2;2004;03;27;13;10.181;66.032;146.497
3;1;3;2004;11;15;12;1.669;68.563;158.904
3;1;3;2004;11;15;13;3.762;68.271;167.994
3;1;3;2004;11;15;14;4.793;67.458;146.716
3;1;3;2004;11;15;15;6.134;66.846;140.624
3;1;4;2004;11;16;06;2.760;69.680;158.943
3;1;4;2004;11;16;07;2.957;69.342;183.325
3;1;4;2004;11;16;08;3.036;69.138;157.920
3;1;5;2004;11;16;14;41.065;71.826;125.054
3;1;5;2004;11;16;15;40.547;71.721;146.735
3;1;5;2004;11;16;16;40.559;71.389;114.233
3;1;5;2004;11;16;17;41.967;70.210;125.622
3;1;5;2004;11;16;18;42.520;70.035;120.869
3;1;5;2004;11;16;19;43.025;69.789;124.041
3;1;5;2004;11;16;20;42.883;69.557;154.642
4;1;6;2004;11;18;00;41.912;73.718;163.117
4;1;6;2004;11;18;01;41.748;73.640;121.383
4;1;6;2004;11;18;02;41.943;73.595;107.455
4;1;6;2004;11;18;03;41.666;73.374;106.477
4;1;6;2004;11;18;04;41.252;73.454;124.728
4;1;6;2004;11;18;05;41.094;73.359;122.591
4;1;6;2004;11;18;06;40.386;73.468;115.847
4;1;6;2004;11;18;07;39.978;73.509;110.351
4;1;6;2004;11;18;08;39.344;73.662;119.240
4;1;6;2004;11;18;09;40.941;73.515;112.744
4;1;6;2004;11;18;10;39.970;73.778;107.147
4;1;6;2004;11;18;11;39.269;73.746;133.849
4;1;7;2004;11;18;00;46.035;75.394;198.832
4;1;7;2004;11;18;01;44.943;75.245;188.026
4;1;7;2004;11;18;02;44.129;75.376;178.431
4;1;7;2004;11;18;03;43.450;75.303;234.504
4;1;7;2004;11;18;04;42.485;75.520;212.077
4;1;7;2004;11;18;05;41.334;75.477;226.267
4;1;7;2004;11;18;06;39.627;75.549;226.955
4;1;7;2004;11;18;07;39.062;75.511;205.147
