/* DATA DESCRIPTION:
Citation:	Rojo, Maxence; Noer, Gunnar; Claud, Chantal (2019): Polar Low tracks in the Norwegian Sea and the Barents Sea from 1999 until 2019. PANGAEA, https://doi.org/10.1594/PANGAEA.903058, 
	Supplement to: Rojo, Maxence; Claud, Chantal; Noer, Gunnar; Carleton, Andrew M (2019): In Situ Measurements of Surface Winds, Waves, and Sea State in Polar Lows Over the North Atlantic. Journal of Geophysical Research: Atmospheres, 124(2), 700-718, https://doi.org/10.1029/2017JD028079
Abstract:	List of Polar Low (PL) events over the Nordic seas and their associated tracking for the period November 1999 until March 2018 using AVHRR imagery.
Related to:	Rojo, Maxence; Claud, Chantal; Mallet, Paul-Etienne; Noer, Gunnar; Carleton, Andrew M; Vicomte, Marie (2015): Polar low tracks over the Nordic Seas: a 14-winter climatic analysis. Tellus Series A-Dynamic Meteorology and Oceanography, 67(1), 24660, https://doi.org/10.3402/tellusa.v67.24660
Coverage:	MEDIAN LATITUDE: 71.099792 * MEDIAN LONGITUDE: 17.603222 * SOUTH-BOUND LATITUDE: 51.000000 * WEST-BOUND LONGITUDE: -32.000000 * NORTH-BOUND LATITUDE: 81.000000 * EAST-BOUND LONGITUDE: 81.000000
	DATE/TIME START: 1999-12-19T04:16:00 * DATE/TIME END: 2019-05-03T05:46:00
Event(s):	NordicSeas_NAtlantic * LATITUDE: 71.600000 * LONGITUDE: 18.000000 * LOCATION: Nordic Seas * METHOD/DEVICE: Satellite remote sensing (SAT)
Parameter(s):	Identification (ID) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * COMMENT: PolarLowID
	DATE/TIME (Date/Time) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Season (Season) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Observation (Obs) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	LATITUDE (Latitude) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	LONGITUDE (Longitude) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Diameter [km] (Ø) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Approximative diameter of a circle that forms the PL cloud vortex at the time of observation
	Diameter [km] (Ø) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Optional value of approximative diameter of a circle that forms the PL cloud vortex at the time of observation
	Morphology (Morphology) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: of PL at the time of observation, S = Spiraliform, C = Comma shaped, MGR = Merry-go-round, W = Wave system, U = Undefined, T = Transition between different forms, H = Hybrid, - = Systems don't appear completely on imagery
	Stage (Stage) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: of PL development at the time of observation, F = Formation, M = Mature, D = Decay
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Specific mentions about PL
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Added from visual inspection of historical NOAA AVHRR images only, without support of observations or NWP
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Denotes uncertainties in visual inspection, and/or notes of the MET-NO list
	Pressure, atmospheric, minimum [hPa] (PPPP min) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Minimum pressure level recorded during PL lifecycle. Empty cells indicate that MSLP is not available.
	Wind speed, gust [arbitrary units] (ff gust) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Maximum 10 minute 10m wind speed observed (in knots). Empty cells indicate that Max wind speed is omitted; #35 = 35-40
	Wind speed, gust [arbitrary units] (ff gust) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Max 3 sec. gusts during PL lifecycle; #52 = 52(60)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	34555 data points
*/
ID (PolarLowID)	Date/Time	Season	Obs	Latitude	Longitude	Ø [km] (Approximative diameter of a c...)	Ø [km] (Optional value of approximati...)	Morphology (of PL at the time of observat...)	Stage (of PL development at the time...)	Comment (Specific mentions about PL)	Comment (Added from visual inspection ...)	Comment (Denotes uncertainties in visu...)	PPPP min [hPa] (Minimum pressure level record...)	ff gust [arbitrary units] (Maximum 10 minute 10m wind sp...)	ff gust [arbitrary units] (Max 3 sec. gusts during PL li...)
1	1999-12-19T04:16	1999/2000	1	73.0	18.0	200		C	F	-	-		989	45	
1	1999-12-19T05:57	1999/2000	2	73.0	19.0	190		C	F	-	-		989	45	
1	1999-12-19T07:17	1999/2000	3	73.0	19.0	250		C	M	-	-		989	45	
1	1999-12-19T12:31	1999/2000	4	72.0	18.0	320		C	M	-	-		989	45	
1	1999-12-19T14:10	1999/2000	5	72.0	19.0	330		T - C	M	-	-		989	45	
1	1999-12-19T15:11	1999/2000	6	71.2	20.0	350		S	M	-	-		989	45	
1	1999-12-20T02:23	1999/2000	7	69.3	20.5			-	D	-	-		989	45	
2	2000-01-21T18:05	1999/2000	1	76.5	31.0	90		U	M	Old_Erik	-		990	42	
2	2000-01-22T02:49	1999/2000	2	72.5	29.0	170		S	M	Old_Erik	-		990	42	
2	2000-01-22T04:30	1999/2000	3	72.0	30.0	160		S	M	Old_Erik	-		990	42	
2	2000-01-22T06:11	1999/2000	4	72.0	29.5	220		H  - C	M	Old_Erik	-		990	42	
2	2000-01-22T07:53	1999/2000	5	71.3	30.0	230		H - C	M	Old_Erik	-		990	42	
3	2000-01-31T04:28	1999/2000	1	65.0	2.5	470		C	M	Cirrus_on_ top	-		978	50	
3	2000-01-31T06:09	1999/2000	2	65.5	4.5	520		C	M	Cirrus_on_ top	-		978	50	
3	2000-01-31T07:52	1999/2000	3	65.0	7.0	490		C	M	Cirrus_on_ top	-		978	50	
3	2000-01-31T12:43	1999/2000	4	64.0	14.0	420		C	D	Cirrus_on_ top	-		978	50	
4	2000-03-08T15:41	1999/2000	1	70.0	13.0			U	M	-	-		992	35	
4	2000-03-08T18:57	1999/2000	2	69.0	14.0	340		C	M	-	-		992	35	
4	2000-03-09T03:55	1999/2000	3	66.0	11.0	240		C	D	-	-		992	35	
5	2000-03-24T02:42	1999/2000	1	73.0	22.0	280		C	M	Most_beautiful	-		997	#35	
5	2000-03-24T04:24	1999/2000	2	73.0	21.0	280		C	M	Most_beautiful	-		997	#35	
5	2000-03-24T06:04	1999/2000	3	72.7	20.5	300		C	M	Most_beautiful	-		997	#35	
5	2000-03-24T08:10	1999/2000	4	72.3	20.5	310		T - S	M	Most_beautiful	-		997	#35	
5	2000-03-24T12:38	1999/2000	5	71.8	21.5	330		S	M	Most_beautiful	-		997	#35	
5	2000-03-24T14:18	1999/2000	6	71.5	22.0	350		S	M	Most_beautiful	-		997	#35	
5	2000-03-24T18:00	1999/2000	7	71.3	24.0	370		S	M	Most_beautiful	-		997	#35	
6	2001-01-01T05:33	2000/2001	1	71.3	10.0	340		C	F	-	X				
6	2001-01-01T06:18	2000/2001	2	71.3	10.0	370		C	F	-	X				
6	2001-01-01T07:58	2000/2001	3	71.5	10.0	390		C	M	-	X				
6	2001-01-01T14:32	2000/2001	4	75.0	22.0	460		C	M	-	X				
6	2001-01-02T04:26	2000/2001	5	76.5	24.0	240		C	M	-	X				
6	2001-01-02T06:07	2000/2001	6	76.8	25.0	250		C	M	-	X				
6	2001-01-02T07:46	2000/2001	7	77.5	27.5	300		C	M	-	X				
6	2001-01-02T14:20	2000/2001	8	78.5	26.5			-	D	-	X				
7	2001-02-04T04:37	2000/2001	1	61.7	2.0	280		U	F	Pre_Mike	-				
7	2001-02-04T05:50	2000/2001	2	62.0	1.5	320		U	F	Pre_Mike	-				
7	2001-02-04T06:18	2000/2001	3	62.0	1.0	320		U	F	Pre_Mike	-				
7	2001-02-04T07:58	2000/2001	4	62.5	1.0			-	M	Pre_Mike	-				
7	2001-02-04T14:32	2000/2001	5	62.5	-3.0	480		S	M	Pre_Mike	-				
7	2001-02-04T15:40	2000/2001	6	62.5	-3.0	470		S	M	Pre_Mike	-				
7	2001-02-04T16:12	2000/2001	7	62.5	-3.5	470		S	M	Pre_Mike	-				
8	2001-02-05T04:25	2000/2001	1	68.0	7.0	460		U	F	The_Mike_Low	-		998	35	
8	2001-02-05T07:46	2000/2001	2	66.5	3.5	460		U	F	The_Mike_Low	-		998	35	
8	2001-02-05T14:20	2000/2001	3	65.5	1.0	340		S	M	The_Mike_Low	-		998	35	
8	2001-02-05T16:00	2000/2001	4	65.0	1.0	370		S	M	The_Mike_Low	-		998	35	
8	2001-02-05T16:56	2000/2001	5	65.0	0.5	370		S	M	The_Mike_Low	-		998	35	
8	2001-02-06T04:13	2000/2001	6	63.7	0.5	360		S	M	The_Mike_Low	-		998	35	
8	2001-02-06T05:54	2000/2001	7	63.5	1.0	390		S	M	The_Mike_Low	-		998	35	
8	2001-02-06T06:44	2000/2001	8	63.0	1.0	410		S	M	The_Mike_Low	-		998	35	
8	2001-02-06T07:34	2000/2001	9	63.0	1.5	430		S	D	The_Mike_Low	-		998	35	
9	2001-03-02T00:48	2000/2001	1	74.0	36.0	250		C	M	-	X				
9	2001-03-02T02:41	2000/2001	2	74.3	37.5	240		C	M	-	X				
9	2001-03-02T04:30	2000/2001	3	74.5	40.0	280		C	M	-	X				
9	2001-03-02T06:11	2000/2001	4	75.0	41.5	340		C	M	-	X				
9	2001-03-02T09:03	2000/2001	5	75.1	42.5	330		C	M	-	X				
9	2001-03-02T10:42	2000/2001	6	75.1	44.0	340		C	M	-	X				
9	2001-03-02T12:34	2000/2001	7	75.2	45.0	420		C	M	-	X				
9	2001-03-02T14:25	2000/2001	8	76.0	47.0			C	M	-	X				
9	2001-03-02T22:57	2000/2001	9	76.0	51.0	430		S	M	-	X				
10	2001-03-19T14:24	2000/2001	1	75.6	8.0	380		C	M	-	X	X			
10	2001-03-19T16:04	2000/2001	2	75.5	7.0	380		C	M	-	X	X			
10	2001-03-20T04:17	2000/2001	3	73.5	10.0			C	M	Uncertainties	X	X			
10	2001-03-20T05:58	2000/2001	4	73.5	9.0			C	M	Uncertainties	X	X			
