Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,diamApprox,diamOptional,Morph,Stage,Comment_SpecificMentionsAboutPL_,Comment_AddedFromVisualInspection____,Comment_DenotesUncertaintiesInVisu____,MinPressureRecord,Max10min10mWind,Max3sec_gusts,StartCell,EndCell,DateSelect,DateStart,DateEnd
19-Dec-1999 12:31:00,1,NaN,72,18,7,0,7,0000000,320,NaN,C,M,"-",-,,989,45,NaN,1,7,19-Dec-1999 12:31:00,19-Dec-1999 04:16:00,20-Dec-1999 02:23:00
22-Jan-2000 04:30:00,2,NaN,72,30,5,0,5,0000,160,NaN,S,M,"Old_Erik",-,,990,42,NaN,8,12,22-Jan-2000 04:30:00,21-Jan-2000 18:05:00,22-Jan-2000 07:53:00
31-Jan-2000 06:09:00,3,NaN,65.5,4.5,4,4,0,111,520,NaN,C,M,"Cirrus_on_ top",-,,978,50,NaN,13,16,31-Jan-2000 06:09:00,31-Jan-2000 04:28:00,31-Jan-2000 12:43:00
08-Mar-2000 18:57:00,4,NaN,69,14,3,3,0,11,340,NaN,C,M,"-",-,,992,35,NaN,17,19,08-Mar-2000 18:57:00,08-Mar-2000 15:41:00,09-Mar-2000 03:55:00
24-Mar-2000 08:10:00,5,NaN,72.3,20.5,7,0,7,000000,310,NaN,T - S,M,"Most_beautiful",-,,997,NaN,NaN,20,26,24-Mar-2000 08:10:00,24-Mar-2000 02:42:00,24-Mar-2000 18:00:00
01-Jan-2001 14:32:00,6,NaN,75,22,8,0,8,0000000,460,NaN,C,M,"-",X,,NaN,NaN,NaN,27,34,01-Jan-2001 14:32:00,01-Jan-2001 05:33:00,02-Jan-2001 14:20:00
04-Feb-2001 07:58:00,7,NaN,62.5,1,7,7,0,111111,NaN,NaN,-,M,"Pre_Mike",-,,NaN,NaN,NaN,35,41,04-Feb-2001 07:58:00,04-Feb-2001 04:37:00,04-Feb-2001 16:12:00
05-Feb-2001 16:56:00,8,NaN,65,0.5,9,9,0,11111111,370,NaN,S,M,"The_Mike_Low",-,,998,35,NaN,42,50,05-Feb-2001 16:56:00,05-Feb-2001 04:25:00,06-Feb-2001 07:34:00
02-Mar-2001 09:03:00,9,NaN,75.1,42.5,9,0,9,00000000,330,NaN,C,M,"-",X,,NaN,NaN,NaN,51,59,02-Mar-2001 09:03:00,02-Mar-2001 00:48:00,02-Mar-2001 22:57:00
19-Mar-2001 16:04:00,10,NaN,75.5,7,4,0,4,000,380,NaN,C,M,"-",X,X,NaN,NaN,NaN,60,63,19-Mar-2001 16:04:00,19-Mar-2001 14:24:00,20-Mar-2001 05:58:00
24-Mar-2001 03:52:00,11,NaN,75.5,10,4,0,4,000,280,NaN,C,M,"Marginal",-,X,1020,40,NaN,64,67,24-Mar-2001 03:52:00,24-Mar-2001 02:11:00,24-Mar-2001 12:06:00
10-Apr-2001 05:09:00,12,NaN,71.5,0,12,4,8,00000001111,490,NaN,T,M,"Baroclinic",-,,1000,58,NaN,68,79,10-Apr-2001 05:09:00,09-Apr-2001 05:21:00,10-Apr-2001 13:50:00
28-Oct-2001 16:03:00,13,NaN,77.5,20.5,25,0,25,000000000000000000000000,NaN,NaN,C,M,"-",X,,NaN,NaN,NaN,80,104,28-Oct-2001 16:03:00,27-Oct-2001 11:07:00,30-Oct-2001 01:59:00
01-Nov-2001 05:20:00,14,NaN,71,20,5,0,5,0000,450,NaN,U - C,M,"Cirrus_outflow_The_Torsvag_case",-,,992,50,NaN,105,109,01-Nov-2001 05:20:00,01-Nov-2001 02:00:00,01-Nov-2001 08:25:00
04-Nov-2001 16:35:00,15,NaN,67.5,1,8,7,1,1111111,350,NaN,C,M,"-",X,,NaN,NaN,NaN,110,117,04-Nov-2001 16:35:00,04-Nov-2001 05:10:00,05-Nov-2001 06:27:00
10-Nov-2001 02:05:00,16,NaN,76.5,30,6,0,6,00000,410,NaN,C,M,"-",X,,NaN,NaN,NaN,118,123,10-Nov-2001 02:05:00,09-Nov-2001 12:10:00,10-Nov-2001 06:10:00
12-Nov-2001 11:38:00,17,NaN,65.5,6,7,6,1,111111,410,NaN,U - C,M,"-",-,,990,45,NaN,124,130,12-Nov-2001 11:38:00,12-Nov-2001 01:43:00,12-Nov-2001 16:52:00
31-Dec-2001 15:05:00,18,NaN,74.5,43.5,25,0,25,000000000000000000000000,220,NaN,W,M,"Dual",X,,NaN,NaN,NaN,131,155,31-Dec-2001 15:05:00,31-Dec-2001 01:23:00,01-Jan-2002 01:12:00
12-Jan-2002 02:57:00,19,NaN,73.4,28.1,7,0,7,000000,560,NaN,S,M,"-",-,,979,35,NaN,156,162,12-Jan-2002 02:57:00,11-Jan-2002 16:38:00,12-Jan-2002 10:51:00
19-Jan-2002 03:01:00,20,NaN,70.3,47.3,7,0,7,000000,230,NaN,C,M,"-",-,,989,35,NaN,163,169,19-Jan-2002 03:01:00,19-Jan-2002 01:12:00,19-Jan-2002 09:25:00
22-Jan-2002 00:47:00,21,2,75,20,19,0,19,000000000000000000,320,NaN,S,M,"Dual",-,,NaN,NaN,NaN,170,188,22-Jan-2002 00:47:00,21-Jan-2002 22:58:00,23-Jan-2002 05:25:00
23-Jan-2002 10:33:00,22,5,71,12.5,28,17,11,011110001111000001111111110,250,NaN,MGR,F,"Multiple_Marginal",-,,NaN,NaN,NaN,189,216,23-Jan-2002 10:33:00,23-Jan-2002 10:33:00,24-Jan-2002 16:30:00
26-Jan-2002 13:21:00,23,NaN,73,15,23,7,16,0000000000000001111111,410,NaN,S,M,"Most_beautiful",-,,NaN,NaN,NaN,217,239,26-Jan-2002 13:21:00,25-Jan-2002 01:56:00,25-Jan-2002 16:06:00
19-Feb-2002 12:23:00,24,NaN,74,34,9,0,9,00000000,390,NaN,T,M,"Most_beautiful",-,,968,55,NaN,240,248,19-Feb-2002 12:23:00,19-Feb-2002 02:28:00,20-Feb-2002 02:18:00
22-Feb-2002 11:51:00,25,NaN,77.3,34.5,15,0,15,00000000000000,170,NaN,S,D,"Dual",X,,NaN,NaN,NaN,249,263,22-Feb-2002 11:51:00,21-Feb-2002 03:47:00,22-Feb-2002 05:16:00
23-Feb-2002 13:20:00,26,NaN,67.5,7.5,5,4,1,1111,320,NaN,C,M,"-",-,,958,45,NaN,264,268,23-Feb-2002 13:20:00,23-Feb-2002 06:29:00,24-Feb-2002 01:34:00
01-Mar-2002 12:15:00,27,NaN,69,10,4,4,0,111,410,NaN,C,M,"The_polar_storm",X,,NaN,50,NaN,269,272,01-Mar-2002 12:15:00,01-Mar-2002 10:36:00,02-Mar-2002 00:27:00
10-Mar-2002 02:24:00,28,NaN,66.5,-2.5,7,7,0,111111,520,NaN,H - S,M,"-",X,,NaN,NaN,NaN,273,279,10-Mar-2002 02:24:00,09-Mar-2002 10:49:00,10-Mar-2002 10:38:00
20-May-2002 04:34:00,29,2,77,7.5,11,0,11,0000000000,250,NaN,C,M,"Dual_systems_Marginal",-,,NaN,NaN,NaN,280,290,20-May-2002 04:34:00,20-May-2002 04:34:00,20-May-2002 16:52:00
20-Dec-2002 11:58:00,30,NaN,68.2,11,6,6,0,11111,250,NaN,S,M,"-",-,,999,30,NaN,291,296,20-Dec-2002 11:58:00,20-Dec-2002 09:54:00,20-Dec-2002 19:45:00
16-Jan-2003 13:39:00,31,NaN,72.2,0.5,10,3,7,000000111,NaN,NaN,C,M,"-",-,,NaN,NaN,NaN,297,306,16-Jan-2003 13:39:00,16-Jan-2003 06:25:00,17-Jan-2003 05:14:00
17-Jan-2003 05:15:00,32,NaN,72.5,27,6,0,6,00000,NaN,NaN,C,M,"Slow_moving",-,,985,35,NaN,307,312,17-Jan-2003 05:15:00,17-Jan-2003 01:53:00,17-Jan-2003 19:16:00
23-Jan-2003 10:42:00,33,NaN,71,5,9,1,8,00000100,NaN,NaN,MGR,M,"Multiple_Impossible_to_measure",X,X,995,53,NaN,313,321,23-Jan-2003 10:42:00,22-Jan-2003 22:23:00,24-Jan-2003 03:56:00
29-Jan-2003 19:46:00,34,NaN,69,1,15,8,7,00000011111111,320,NaN,C,M,"Reversed_Shear",-,,997,50,NaN,322,336,29-Jan-2003 19:46:00,29-Jan-2003 01:19:00,30-Jan-2003 12:43:00
11-Mar-2003 09:33:00,35,NaN,70.8,22,14,0,14,0000000000000,NaN,NaN,S,D,"Dual",-,,979,45,NaN,337,350,11-Mar-2003 09:33:00,10-Mar-2003 19:46:00,11-Mar-2003 19:24:00
