Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,Diam_Km,Wind_M_s,Stage,Sat,StartCell,EndCell,DateSelect,DateStart,DateEnd
01-Jan-2015 06:08:00,1,NaN,57.8592333303092,-50.8166346636042,5,5,0,11111,242,NaN,2,2,1,5,01-Jan-2015 06:08:00,01-Jan-2015 00:27:00,01-Jan-2015 15:45:00
02-Jan-2015 12:58:00,2,NaN,62.9235960174518,-38.8309251082877,13,13,0,111111111111,373,NaN,2,1,6,18,02-Jan-2015 12:58:00,01-Jan-2015 13:53:00,03-Jan-2015 05:54:00
03-Jan-2015 01:53:00,3,NaN,59.4315271413366,-54.7475025451843,8,8,0,1111111,405,NaN,2,1,19,26,03-Jan-2015 01:53:00,02-Jan-2015 14:39:00,03-Jan-2015 17:12:00
08-Jan-2015 00:33:00,4,NaN,57.0090384366969,-48.3500318787401,5,5,0,1111,320,NaN,2,1,27,31,08-Jan-2015 00:33:00,07-Jan-2015 14:57:00,08-Jan-2015 06:14:00
08-Jan-2015 15:39:00,5,NaN,57.2476004637536,-51.0577958922113,6,6,0,11111,331,NaN,2,1,32,37,08-Jan-2015 15:39:00,08-Jan-2015 06:15:00,09-Jan-2015 05:19:00
11-Jan-2015 16:20:00,6,NaN,53.7082009860603,-42.435293012536,3,3,0,11,245,NaN,2,2,38,40,11-Jan-2015 16:20:00,11-Jan-2015 14:33:00,12-Jan-2015 00:07:00
13-Jan-2015 14:20:00,7,NaN,57.2477696693602,-49.9485930975916,8,8,0,1111111,291,NaN,2,1,41,48,13-Jan-2015 14:20:00,13-Jan-2015 00:51:00,14-Jan-2015 05:39:00
14-Jan-2015 10:22:00,8,NaN,76.2822849488309,42.3865957788617,11,0,11,0000000000,317,NaN,2,2,49,59,14-Jan-2015 10:22:00,14-Jan-2015 02:14:00,14-Jan-2015 19:47:00
24-Jan-2015 15:39:00,9,NaN,58.5722789585299,-54.8348873594313,4,4,0,111,297,NaN,2,1,60,63,24-Jan-2015 15:39:00,24-Jan-2015 14:01:00,25-Jan-2015 01:16:00
27-Jan-2015 06:46:00,10,NaN,54.9898049021831,-52.2756863977691,5,5,0,1111,463,NaN,2,2,64,68,27-Jan-2015 06:46:00,27-Jan-2015 01:03:00,27-Jan-2015 16:21:00
29-Jan-2015 04:52:00,11,NaN,62.7217393020525,-10.8515608670769,9,9,0,11111111,401,NaN,2,2,69,77,29-Jan-2015 04:52:00,28-Jan-2015 19:58:00,29-Jan-2015 22:16:00
29-Jan-2015 09:39:00,12,NaN,74.3398836674318,39.3606690621649,6,0,6,00000,89,NaN,2,2,78,83,29-Jan-2015 09:39:00,29-Jan-2015 06:23:00,29-Jan-2015 14:11:00
29-Jan-2015 22:59:00,13,NaN,72.0732618307573,43.8318800916407,20,0,20,0000000000000000000,251,NaN,2,2,84,103,29-Jan-2015 22:59:00,29-Jan-2015 06:23:00,30-Jan-2015 16:30:00
30-Jan-2015 14:54:00,14,NaN,72.7806757107011,32.2520948135772,9,0,9,00000000,100,NaN,2,1,104,112,30-Jan-2015 14:54:00,30-Jan-2015 08:43:00,30-Jan-2015 23:42:00
02-Feb-2015 04:23:00,15,NaN,76.9175409688944,28.8691318812396,59,0,59,0000000000000000000000000000000000000000000000000000000000,452,NaN,2,2,113,171,02-Feb-2015 04:23:00,31-Jan-2015 01:20:00,04-Feb-2015 07:24:00
05-Feb-2015 05:01:00,16,NaN,58.4241645571874,-49.7094522807981,3,3,0,11,462,NaN,2,2,172,174,05-Feb-2015 05:01:00,05-Feb-2015 00:57:00,05-Feb-2015 06:39:00
07-Feb-2015 14:04:00,17,NaN,75.4762990401701,53.1339758731681,7,0,7,000000,187,NaN,2,1,175,181,07-Feb-2015 14:04:00,07-Feb-2015 09:12:00,07-Feb-2015 18:58:00
10-Feb-2015 05:13:00,18,NaN,74.4193341877807,0.784509204265657,7,0,7,000000,283,NaN,2,2,182,188,10-Feb-2015 05:13:00,09-Feb-2015 22:03:00,10-Feb-2015 10:05:00
10-Feb-2015 06:49:00,19,NaN,72.0831527721252,17.1933756362815,8,0,8,0000000,267,NaN,2,2,189,196,10-Feb-2015 06:49:00,10-Feb-2015 01:58:00,10-Feb-2015 13:00:00
