Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,diamApprox,diamOptional,Morph,Stage,Comment_SpecificMentionsAboutPL_,Comment_AddedFromVisualInspection____,Comment_DenotesUncertaintiesInVisu____,MinPressureRecord,Max10min10mWind,Max3sec_gusts,StartCell,EndCell,DateSelect,DateStart,DateEnd
31-Jan-2000 06:09:00,3,NaN,65.5,4.5,4,4,0,111,520,NaN,C,M,Cirrus_on_ top,-,,978,50,NaN,13,16,31-Jan-2000 06:09:00,31-Jan-2000 04:28:00,31-Jan-2000 12:43:00
08-Mar-2000 18:57:00,4,NaN,69,14,3,3,0,11,340,NaN,C,M,-,-,,992,35,NaN,17,19,08-Mar-2000 18:57:00,08-Mar-2000 15:41:00,09-Mar-2000 03:55:00
04-Feb-2001 07:58:00,7,NaN,62.5,1,7,7,0,111111,NaN,NaN,-,M,Pre_Mike,-,,NaN,NaN,NaN,35,41,04-Feb-2001 07:58:00,04-Feb-2001 04:37:00,04-Feb-2001 16:12:00
05-Feb-2001 16:56:00,8,NaN,65,0.5,9,9,0,11111111,370,NaN,S,M,The_Mike_Low,-,,998,35,NaN,42,50,05-Feb-2001 16:56:00,05-Feb-2001 04:25:00,06-Feb-2001 07:34:00
01-Mar-2002 12:15:00,27,NaN,69,10,4,4,0,111,410,NaN,C,M,The_polar_storm,X,,NaN,50,NaN,269,272,01-Mar-2002 12:15:00,01-Mar-2002 10:36:00,02-Mar-2002 00:27:00
10-Mar-2002 02:24:00,28,NaN,66.5,-2.5,7,7,0,111111,520,NaN,H - S,M,-,X,,NaN,NaN,NaN,273,279,10-Mar-2002 02:24:00,09-Mar-2002 10:49:00,10-Mar-2002 10:38:00
20-Dec-2002 11:58:00,30,NaN,68.2,11,6,6,0,11111,250,NaN,S,M,-,-,,999,30,NaN,291,296,20-Dec-2002 11:58:00,20-Dec-2002 09:54:00,20-Dec-2002 19:45:00
30-Jan-2004 13:50:00,44,NaN,68.8,-8,14,14,0,1111111111111,480,240,W,M,Short_lived_Dual_wave,X,,NaN,NaN,NaN,426,439,30-Jan-2004 13:50:00,29-Jan-2004 22:24:00,30-Jan-2004 20:21:00
21-Feb-2004 15:34:00,46,NaN,67.5,2.5,8,8,0,1111111,210,NaN,C,M,Neutral_(No)_shear,-,,990,55,NaN,448,455,21-Feb-2004 15:34:00,21-Feb-2004 10:16:00,22-Feb-2004 03:42:00
27-Mar-2004 06:32:00,48,2,66,3.5,20,20,0,1111111111111111111,250,NaN,C,M,Dual_No_CAO_Uncertainties???,X,X,NaN,NaN,NaN,464,483,27-Mar-2004 06:32:00,27-Mar-2004 04:53:00,27-Mar-2004 16:21:00
10-Dec-2004 20:58:00,54,NaN,64.5,-3,8,8,0,1111111,430,NaN,C,M,Direct_shear_Secondary,-,,1003,50,NaN,537,544,10-Dec-2004 20:58:00,10-Dec-2004 14:00:00,11-Dec-2004 13:35:00
13-Jan-2005 16:41:00,56,NaN,68,6.5,7,7,0,111111,350,NaN,C,M,Primary_Neutral_Poor_models,-,,1002,55,NaN,554,560,13-Jan-2005 16:41:00,13-Jan-2005 09:53:00,14-Jan-2005 04:43:00
22-Jan-2005 14:40:00,58,NaN,67.3,-2.5,10,10,0,111111111,390,NaN,S,M,,-,,NaN,NaN,NaN,573,582,22-Jan-2005 14:40:00,22-Jan-2005 06:31:00,23-Jan-2005 06:06:00
23-Jan-2005 11:05:00,59,NaN,68.1,13,10,10,0,111111111,490,NaN,C,M,-,-,,1003,43,NaN,583,592,23-Jan-2005 11:05:00,23-Jan-2005 04:26:00,23-Jan-2005 20:54:00
15-Mar-2005 13:20:00,63,NaN,64,6,7,7,0,111111,290,NaN,C,M,Direct_Primary,-,,999,48,NaN,613,619,15-Mar-2005 13:20:00,15-Mar-2005 05:23:00,16-Mar-2005 01:50:00
29-Nov-2005 11:15:00,69,NaN,68.5,3,13,13,0,111111111111,380,NaN,C,M,Sounding_LDWR_Radar,-,,NaN,50,NaN,673,685,29-Nov-2005 11:15:00,28-Nov-2005 19:48:00,30-Nov-2005 04:10:00
05-Feb-2007 10:44:00,84,NaN,63.5,11,12,12,0,11111111111,NaN,NaN,-,D,Two_PLs_Small_Over_the_land,-,,994,41,NaN,858,869,05-Feb-2007 10:44:00,04-Feb-2007 20:36:00,05-Feb-2007 10:44:00
03-Sep-2007 01:30:00,88,NaN,66,6.5,6,6,0,11111,410,NaN,C,M,Season_start!,-,,993,40,NaN,888,893,03-Sep-2007 01:30:00,02-Sep-2007 19:51:00,03-Sep-2007 09:38:00
